"lhs","","rhs","support","confidence","coverage","lift","count"
"{barbara=1, francois=1}","=>","{res=0}",0.171052631578947,0.787878787878788,0.217105263157895,1.44286235852501,26
"{barbara=1, yuriko=0}","=>","{res=0}",0.177631578947368,0.75,0.236842105263158,1.37349397590361,27
"{francois=1, jimmy=0}","=>","{res=0}",0.230263157894737,0.714285714285714,0.322368421052632,1.30808950086059,35
"{rick=0, yuriko=0}","=>","{res=0}",0.263157894736842,0.714285714285714,0.368421052631579,1.30808950086059,40
"{francois=1, rick=0}","=>","{res=0}",0.263157894736842,0.701754385964912,0.375,1.285140562249,40
"{steeve=1, yuriko=0}","=>","{res=0}",0.138157894736842,0.7,0.197368421052632,1.28192771084337,21
"{jimmy=0, yuriko=0}","=>","{res=0}",0.243421052631579,0.69811320754717,0.348684210526316,1.27847238008638,37
"{jimmy=0, steeve=1}","=>","{res=0}",0.131578947368421,0.689655172413793,0.190789473684211,1.26298296634815,20
"{barbara=1, shelda=0}","=>","{res=0}",0.243421052631579,0.685185185185185,0.355263157894737,1.25479696564034,37
"{barbara=1, rick=0}","=>","{res=0}",0.223684210526316,0.68,0.328947368421053,1.24530120481928,34
"{jimmy=0, rick=0}","=>","{res=0}",0.276315789473684,0.67741935483871,0.407894736842105,1.24057520404197,42
"{barbara=1, jimmy=0}","=>","{res=0}",0.230263157894737,0.673076923076923,0.342105263157895,1.23262279888786,35
"{francois=1, shelda=0}","=>","{res=0}",0.243421052631579,0.672727272727273,0.361842105263158,1.23198247535597,37
"{alonso=0, barbara=1}","=>","{res=0}",0.25,0.666666666666667,0.375,1.22088353413655,38
"{ana=0, barbara=1}","=>","{res=0}",0.263157894736842,0.666666666666667,0.394736842105263,1.22088353413655,40
"{francois=1, yuriko=0}","=>","{res=0}",0.190789473684211,0.659090909090909,0.289473684210526,1.20700985761227,29
"{ana=0, yuriko=0}","=>","{res=0}",0.361842105263158,0.654761904761905,0.552631578947368,1.19908204245554,55
"{barbara=0, shelda=1}","=>","{res=0}",0.111842105263158,0.653846153846154,0.171052631578947,1.19740500463392,17
"{shelda=0, yuriko=0}","=>","{res=0}",0.243421052631579,0.649122807017544,0.375,1.18875502008032,37
"{ana=0, francois=1}","=>","{res=0}",0.276315789473684,0.646153846153846,0.427631578947368,1.18331788693234,42
"{shelda=1, yuriko=0}","=>","{res=0}",0.131578947368421,0.645161290322581,0.203947368421053,1.18150019432569,20
"{alonso=0, yuriko=0}","=>","{res=0}",0.342105263157895,0.641975308641975,0.532894736842105,1.17566562546482,52
"{francois=1, steeve=0}","=>","{res=0}",0.230263157894737,0.636363636363636,0.361842105263158,1.16538882803943,35
"{francois=0, yuriko=0}","=>","{res=0}",0.184210526315789,0.636363636363636,0.289473684210526,1.16538882803943,28
"{ana=0, shelda=1}","=>","{res=0}",0.125,0.633333333333333,0.197368421052632,1.15983935742972,19
"{alonso=0, francois=1}","=>","{res=0}",0.25,0.633333333333333,0.394736842105263,1.15983935742972,38
"{barbara=1, steeve=0}","=>","{res=0}",0.203947368421053,0.63265306122449,0.322368421052632,1.15859355790509,31
"{jimmy=0, shelda=0}","=>","{res=0}",0.269736842105263,0.621212121212121,0.434210526315789,1.13764147499087,41
"{steeve=0, yuriko=0}","=>","{res=0}",0.236842105263158,0.620689655172414,0.381578947368421,1.13668466971334,36
"{alonso=0, shelda=1}","=>","{res=0}",0.125,0.612903225806452,0.203947368421053,1.12242518460941,19
"{ana=0, jimmy=0}","=>","{res=0}",0.361842105263158,0.611111111111111,0.592105263157895,1.11914323962517,55
"{ana=0, steeve=1}","=>","{res=0}",0.164473684210526,0.609756097560976,0.269736842105263,1.11666176902733,25
"{alonso=0, steeve=1}","=>","{res=0}",0.157894736842105,0.6,0.263157894736842,1.09879518072289,24
"{alonso=0, jimmy=0}","=>","{res=0}",0.335526315789474,0.6,0.559210526315789,1.09879518072289,51
"{rick=0, steeve=1}","=>","{res=0}",0.111842105263158,0.586206896551724,0.190789473684211,1.07353552139593,17
"{ana=0, rick=0}","=>","{res=0}",0.401315789473684,0.580952380952381,0.690789473684211,1.06391279403328,61
"{francois=0, steeve=1}","=>","{res=0}",0.118421052631579,0.580645161290323,0.203947368421053,1.06335017489312,18
"{barbara=0, yuriko=0}","=>","{res=0}",0.197368421052632,0.576923076923077,0.342105263157895,1.05653382761816,30
"{rick=0, steeve=0}","=>","{res=0}",0.296052631578947,0.576923076923077,0.513157894736842,1.05653382761816,45
"{jimmy=0, steeve=0}","=>","{res=0}",0.230263157894737,0.573770491803279,0.401315789473684,1.05076041872408,35
"{jimmy=1, yuriko=0}","=>","{res=0}",0.131578947368421,0.571428571428571,0.230263157894737,1.04647160068847,20
"{alonso=0, rick=0}","=>","{res=0}",0.368421052631579,0.571428571428571,0.644736842105263,1.04647160068847,56
"{rick=0, shelda=0}","=>","{res=0}",0.322368421052632,0.563218390804598,0.572368421052632,1.03143608918432,49
"{shelda=0, steeve=1}","=>","{res=0}",0.105263157894737,0.551724137931034,0.190789473684211,1.01038637307852,16
"{alonso=0, ana=0}","=>","{res=0}",0.486842105263158,0.54014598540146,0.901315789473684,0.989183009409902,74
"{barbara=0, steeve=1}","=>","{res=0}",0.105263157894737,0.533333333333333,0.197368421052632,0.976706827309237,16
"{rick=1, yuriko=0}","=>","{res=0}",0.111842105263158,0.53125,0.210526315789474,0.97289156626506,17
"{barbara=0, jimmy=0}","=>","{res=0}",0.131578947368421,0.526315789473684,0.25,0.963855421686747,20
"{ana=0, shelda=0}","=>","{res=0}",0.407894736842105,0.525423728813559,0.776315789473684,0.962221768429651,62
"{ana=0, steeve=0}","=>","{res=0}",0.368421052631579,0.523364485981308,0.703947368421053,0.958450624929625,56
"{alonso=0, shelda=0}","=>","{res=0}",0.375,0.518181818181818,0.723684210526316,0.948959474260679,57
"{shelda=0, steeve=0}","=>","{res=0}",0.309210526315789,0.516483516483517,0.598684210526316,0.9458493313915,47
"{alonso=0, steeve=0}","=>","{res=0}",0.342105263157895,0.514851485148515,0.664473684210526,0.942860551115352,52
"{francois=0, rick=1}","=>","{res=0}",0.125,0.513513513513513,0.243421052631579,0.94041028980788,19
"{barbara=0, francois=1}","=>","{res=0}",0.105263157894737,0.5,0.210526315789474,0.91566265060241,16
