Partida,Jogadore(a)s,Oponentes,Amigos
1,"Steeve, François, Alonso",32,6
2,"Alonso, François, Jimmy",28,9
3,"Jimmy, Rick, Yuriko",12,34
4,"Jimmy, Yuriko, Barbara",6,36
5,"Barbara, François, Steeve",36,4
6,"shelda, Rick, Yuriko",15,36
7,"François, Jimmy, Yuriko",3,27
8,"Steeve, Jimmy, François",10,61
9,"François, Yuriko, Barbara",34,10
10,"François, Barbara, Yuriko",10,5
11,"Barbara, François, Steeve",34,25
12,"François, Rick, Yuriko",16,59
13,"Steeve, Yuriko, rick",38,7
14,"Barbara, Francois, Yuriko",19,12
15,"Jimmy, Barbara, rick",6,32
16,"Barbara, Francois, Yuriko",58,55
17,"Steeve, Barbara, Rick",21,21
18,"Barbara, Francois, Yuriko",27,21
19,"Jimmy, Shelda, Steeve",23,14
20,"Jimmy, Yuriko, François",35,18
21,"Shelda, Steeve, François",19,36
22,"Jimmy, rick, Barbara",17,27
23,"Jimmy, Yuriko, Rick",23,14
24,"Yuriko, Barbara, Alonso",11,41
25,"Jimmy, Yuriko, François",16,62
26,"Jimmy, Rick, Steeve",30,4
27,"Steeve, Barbara, Rick",27,12
28,"Jimmy, Yuriko",10,29
29,"shelda, rick, Steeve",36,6
30,"Steeve, Barbara, Yuriko",5,58
31,"Jimmy, Rick, Barbara",26,2
32,"Jimmy, Shelda, Francois",8,57
33,"shelda, rick, Steeve",34,12
34,"Yuriko, Barbara, Rick",21,28
35,"Jimmy, Yuriko, Rick",27,7
36,"Shelda, Steeve, François",24,0
37,"Jimmy, Rick, ana",4,29
38,"Jimmy, Yuriko, Steeve",28,13
39,"Yuriko, Barbara",21,56
40,"Jimmy, Yuriko",3,59
41,"Yuriko, Barbara, Alonso",37,12
42,"Jimmy, Yuriko, Francois",3,48
43,"Jimmy, Rick, Steeve",6,30
44,"Steeve, Barbara, Rick",29,13
45,"Jimmy, Yuriko",18,59
46,"shelda, Rick, Steeve",24,22
47,"Steeve, Barbara, Yuriko",31,21
48,"Jimmy, rick, Barbara",28,10
49,"Jimmy, Shelda, François",24,22
50,"shelda, Rick, Steeve",10,36
51,"Yuriko, Barbara, Rick",38,21
52,"Jimmy, Yuriko, Rick",9,30
53,"Shelda, Steeve, François",36,11
54,"Jimmy, Rick, ana",20,19
55,"Jimmy, Yuriko, Steeve",17,50
